activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,,,False,False,False,False,False,False,False,False,False,False,7pV,Lightning Usage By FlexiPage Metrics,Lightning Usage By FlexiPage Metrics,False,False,False,LightningUsageByFlexiPageMetrics,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/LightningUsageByFlexiPageMetrics/{ID}'), ('describe', '/services/data/v52.0/sobjects/LightningUsageByFlexiPageMetrics/describe'), ('sobject', '/services/data/v52.0/sobjects/LightningUsageByFlexiPageMetrics')])"
False,,,False,False,False,False,False,False,False,False,False,False,0U5,Lightning Usage By Page Metrics,Lightning Usage By Page Metrics,False,False,False,LightningUsageByPageMetrics,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/LightningUsageByPageMetrics/{ID}'), ('describe', '/services/data/v52.0/sobjects/LightningUsageByPageMetrics/describe'), ('sobject', '/services/data/v52.0/sobjects/LightningUsageByPageMetrics')])"
False,,,True,False,False,False,True,False,False,False,False,False,0XB,List Email,List Emails,True,False,True,ListEmail,True,True,True,True,False,True,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/ListEmail/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/ListEmail/{ID}'), ('describe', '/services/data/v52.0/sobjects/ListEmail/describe'), ('layouts', '/services/data/v52.0/sobjects/ListEmail/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/ListEmail')])"
False,ChangeEvent,ListEmail,False,False,False,False,False,False,False,False,False,False,,List Email Change Event,List Email Change Event,False,False,False,ListEmailChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListEmailChangeEvent/{ID}'), ('eventSchema', '/services/data/v52.0/sobjects/ListEmailChangeEvent/eventSchema'), ('describe', '/services/data/v52.0/sobjects/ListEmailChangeEvent/describe'), ('sobject', '/services/data/v52.0/sobjects/ListEmailChangeEvent')])"
False,,,True,False,False,False,True,False,False,False,False,False,0XF,List Email Individual Recipient,List Email Individual Recipients,False,False,False,ListEmailIndividualRecipient,True,True,True,False,False,True,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListEmailIndividualRecipient/{ID}'), ('describe', '/services/data/v52.0/sobjects/ListEmailIndividualRecipient/describe'), ('sobject', '/services/data/v52.0/sobjects/ListEmailIndividualRecipient')])"
False,,,True,False,False,False,True,False,False,False,False,False,0XD,List Email Recipient Source,List Email Recipient Sources,False,False,False,ListEmailRecipientSource,True,True,True,False,False,True,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListEmailRecipientSource/{ID}'), ('describe', '/services/data/v52.0/sobjects/ListEmailRecipientSource/describe'), ('sobject', '/services/data/v52.0/sobjects/ListEmailRecipientSource')])"
False,Share,ListEmail,True,False,False,False,True,False,False,False,False,False,,List Email Share,List Email Share,False,False,False,ListEmailShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListEmailShare/{ID}'), ('describe', '/services/data/v52.0/sobjects/ListEmailShare/describe'), ('sobject', '/services/data/v52.0/sobjects/ListEmailShare')])"
False,,,False,False,False,False,False,False,False,False,False,False,00B,List View,List Views,False,False,True,ListView,True,False,True,True,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListView/{ID}'), ('describe', '/services/data/v52.0/sobjects/ListView/describe'), ('sobject', '/services/data/v52.0/sobjects/ListView')])"
False,,,True,False,False,False,True,False,False,False,False,False,0Dd,List View Chart,List View Charts,False,False,False,ListViewChart,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListViewChart/{ID}'), ('describe', '/services/data/v52.0/sobjects/ListViewChart/describe'), ('sobject', '/services/data/v52.0/sobjects/ListViewChart')])"
False,,,False,False,False,False,False,False,False,False,False,False,0De,List View Chart Instance,List View Chart Instances,False,False,False,ListViewChartInstance,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListViewChartInstance/{ID}'), ('describe', '/services/data/v52.0/sobjects/ListViewChartInstance/describe'), ('sobject', '/services/data/v52.0/sobjects/ListViewChartInstance')])"
False,,,False,False,False,False,False,False,False,False,False,False,0X8,List View Event,List View Events,False,False,False,ListViewEvent,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListViewEvent/{ID}'), ('describe', '/services/data/v52.0/sobjects/ListViewEvent/describe'), ('sobject', '/services/data/v52.0/sobjects/ListViewEvent')])"
False,,,False,False,False,False,False,False,False,False,False,False,0XG,List View Event Stream,List View Event Streams,False,False,False,ListViewEventStream,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/ListViewEventStream/{ID}'), ('eventSchema', '/services/data/v52.0/sobjects/ListViewEventStream/eventSchema'), ('describe', '/services/data/v52.0/sobjects/ListViewEventStream/describe'), ('sobject', '/services/data/v52.0/sobjects/ListViewEventStream')])"
False,,,True,False,False,False,True,False,False,False,False,False,0GO,Sensitive Data Rule,Sensitive Data Rules,False,False,False,LiveChatSensitiveDataRule,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/LiveChatSensitiveDataRule/{ID}'), ('describe', '/services/data/v52.0/sobjects/LiveChatSensitiveDataRule/describe'), ('sobject', '/services/data/v52.0/sobjects/LiveChatSensitiveDataRule')])"
False,,,True,False,False,False,True,False,False,False,False,False,131,Location,Locations,True,False,True,Location,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v52.0/sobjects/Location/describe/compactLayouts'), ('rowTemplate', '/services/data/v52.0/sobjects/Location/{ID}'), ('approvalLayouts', '/services/data/v52.0/sobjects/Location/describe/approvalLayouts'), ('describe', '/services/data/v52.0/sobjects/Location/describe'), ('quickActions', '/services/data/v52.0/sobjects/Location/quickActions'), ('layouts', '/services/data/v52.0/sobjects/Location/describe/layouts'), ('sobject', '/services/data/v52.0/sobjects/Location')])"
False,ChangeEvent,Location,False,False,False,False,False,False,False,False,False,False,,Location Change Event,Location Change Event,False,False,False,LocationChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v52.0/sobjects/LocationChangeEvent/{ID}'), ('eventSchema', '/services/data/v52.0/sobjects/LocationChangeEvent/eventSchema'), ('describe', '/services/data/v52.0/sobjects/LocationChangeEvent/describe'), ('sobject', '/services/data/v52.0/sobjects/LocationChangeEvent')])"
